"id","age","gender","trial","easy_hard","rating"
75263160,35,"female","37_Practice","hard",90
75263160,35,"female","37_Practice","easy",1
75263160,35,"female","11_InitSorted","hard",35
75263160,35,"female","11_InitSorted","easy",20
75263160,35,"female","8_Number","hard",60
75263160,35,"female","8_Number","easy",18
75263160,35,"female","7_Number","easy",1
75263160,35,"female","7_Number","hard",10
75263160,35,"female","21_Number","easy",1
75263160,35,"female","21_Number","hard",39
75263160,35,"female","26_Number","easy",17
75263160,35,"female","26_Number","hard",50
75263160,35,"female","13_Sampling","easy",20
75263160,35,"female","13_Sampling","hard",64
75263160,35,"female","25_InitSorted","hard",46
75263160,35,"female","25_InitSorted","easy",56
75263160,35,"female","23_InitNumber","hard",26
75263160,35,"female","23_InitNumber","easy",3
75263160,35,"female","22_Number","hard",35
75263160,35,"female","22_Number","easy",3
75263160,35,"female","12_Number","hard",26
75263160,35,"female","12_Number","easy",13
75263160,35,"female","31_InitNumber","easy",2
75263160,35,"female","31_InitNumber","hard",33
75263160,35,"female","15_Number","hard",74
75263160,35,"female","15_Number","easy",9
75263160,35,"female","19_Pattern","hard",67
75263160,35,"female","19_Pattern","easy",61
75263160,35,"female","30_Number","easy",4
75263160,35,"female","30_Number","hard",38
75263160,35,"female","18_Stability","hard",99
75263160,35,"female","18_Stability","easy",37
75263160,35,"female","31_InitNumber","easy",2
75263160,35,"female","31_InitNumber","hard",33
75263160,35,"female","17_InitNumber","hard",32
75263160,35,"female","17_InitNumber","easy",2
75263160,35,"female","9_InitNumber","hard",24
75263160,35,"female","9_InitNumber","easy",2
75263160,35,"female","27_Sampling","easy",3
75263160,35,"female","27_Sampling","hard",3
75263160,35,"female","16_Number","hard",65
75263160,35,"female","16_Number","easy",19
75263160,35,"female","10_Stability","hard",65
75263160,35,"female","10_Stability","easy",17
75263160,35,"female","28_Stability","easy",36
75263160,35,"female","28_Stability","hard",61
75263160,35,"female","34_Stability","easy",76
75263160,35,"female","34_Stability","hard",71
75263160,35,"female","29_Number","hard",62
75263160,35,"female","29_Number","easy",3
75263160,35,"female","14_Stability","easy",24
75263160,35,"female","14_Stability","hard",40
75263160,35,"female","24_Stability","hard",76
75263160,35,"female","24_Stability","easy",24
75263160,35,"female","20_Stability","easy",71
75263160,35,"female","20_Stability","hard",78
75263160,35,"female","33_Pattern","hard",70
75263160,35,"female","33_Pattern","easy",65
